RefNum,age,job,marital,education,housing,loan,contact,day,month,duration,deposit,balance
10024585,33,blue-collar,divorced,secondary,yes,no,,9,may,248,0,22680
10024586,39,technician,single,,yes,no,,1,november,130,0,0
10024587,57,retired,divorced,secondary,yes,no,,2,december,71,33737.4,1487880
10024588,49,blue-collar,married,,yes,no,,6,january,984,5959.8,9180
10024589,41,blue-collar,married,primary,yes,no,,3,february,252,9027,46440
10024590,43,technician,married,primary,yes,no,,30,march,84,7929,21060
10024591,29,management,married,tertiary,yes,yes,,14,april,1689,10846.8,35820
10024592,56,services,married,primary,yes,no,,28,may,130,30477.6,39420
10024593,46,technician,married,secondary,yes,no,,13,june,489,30754.8,282780
10024594,42,blue-collar,married,primary,yes,no,,8,july,41,,40140
10024595,36,blue-collar,married,primary,no,no,,6,august,159,,-14220
10024596,29,services,married,primary,yes,no,,14,september,196,46798.2,57780
10024597,43,admin.,single,secondary,yes,no,??,9,october,276,5841,454860
10024598,48,admin.,married,secondary,yes,no,,8,november,697,520.2,900
10024599,38,blue-collar,single,primary,yes,no,,8,december,81,7511.4,3600
10024600,46,blue-collar,married,secondary,yes,yes,,5,january,149,1679.4,188100
10024601,44,blue-collar,married,secondary,yes,no,?,19,february,281,90,180
10024602,28,management,married,tertiary,yes,no,,28,march,122,,540
10024603,28,blue-collar,married,primary,yes,no,,19,april,361,,-9900
10024604,36,technician,divorced,secondary,yes,?,,6,may,319,11932.2,25380
10024605,37,blue-collar,married,secondary,yes,no,,22,june,944,9691.2,67320
10024606,56,management,married,primary,yes,no,,9,july,282,10747.8,16740
10024607,46,blue-collar,single,tertiary,yes,no,,13,august,1102,9842.4,82800
10024608,34,services,divorced,secondary,yes,no,,28,september,35,5331.6,14040
10024609,32,entrepreneur,married,secondary,yes,no,,12,october,143,11566.8,24300
10024610,33,technician,married,secondary,yes,??,,7,november,22,15676.2,66060
10024611,36,services,single,secondary,yes,no,,3,december,90,20539.8,44640
10024612,35,services,married,secondary,yes,no,,20,january,17,,113400
10024613,44,admin.,single,secondary,yes,no,,3,february,404,,-5400
